Activity= OFF; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Quads; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= STEM; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= STEM; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Fishing; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Fishing; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Board Games; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Board Games; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Coding; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 1;;
Activity= Coding; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 1;;
Activity= Lego; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Lego; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Model Making; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Model Making; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Perler Beads; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Perler Beads; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Robotics; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Robotics; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Rocketry; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Rocketry; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Rubik's Cube; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Rubik's Cube; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Weights; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Weights; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Zumba; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Zumba; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Aerobics; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Aerobics; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Bootcamp; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Bootcamp; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Yoga; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Yoga; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Fitness Center; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Fitness Center; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Basketball; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 4; max= 8;;
Activity= Basketball; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 8;;
Activity= Basketball Clinic; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 4; max= 8;;
Activity= Basketball Clinic; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 8;;
Activity= Basketball League; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 4; max= 8;;
Activity= Basketball League; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 8;;
Activity= Varsity; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 4; max= 8;;
Activity= Varsity; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 8;;
Activity= WNBA; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 4; max= 8;;
Activity= WNBA; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 8;;
Activity= WNCAA; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 4; max= 8;;
Activity= WNCAA; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 8;;
Activity= NBA; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 4; max= 8;;
Activity= NBA; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 8;;
Activity= Hockey; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Hockey; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Floor Hockey; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Floor Hockey; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Roller Hockey; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Roller Hockey; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Hockey Clinic; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Hockey Clinic; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Hockey League; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Hockey League; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Soccer; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Soccer; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 5;;
Activity= Soccer Clinic; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Soccer Clinic; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 5;;
Activity= Soccer League; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Soccer League; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 5;;
Activity= Lacrosse; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Lacrosse; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 2; max= 5;;
Activity= Ninja Warrior; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Ninja Warrior; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Gymnastics; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Gymnastics; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Gymnastics -Foam Pit; Elective= f; Ratio= 7; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Gymnastics -Foam Pit; Elective= t; Ratio= 7; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Gymnastics - Bar, Beam, Floor & Vault; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Gymnastics - Bar, Beam, Floor & Vault; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Softball; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= Softball; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Baseball; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= Baseball; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Softball Clinic; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= Softball Clinic; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Softball League; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= Softball League; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Baseball Clinic; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= Baseball Clinic; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Baseball League; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= Baseball League; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= MLB; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= MLB; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= CBL; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 3; max= 6;;
Activity= CBL; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Batting Cage; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Batting Cage; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Cheer Leading; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Cheer Leading; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Archery; Elective= f; Ratio= 14; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Archery; Elective= t; Ratio= 14; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Flag Football; Elective= f; Ratio= 15; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Flag Football; Elective= t; Ratio= 0; b= 2; subtractBunkCounselors= f; min= 2; max= 2;;
Activity= Beach Volleyball; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Beach Volleyball; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Newcomb; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Newcomb; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Volleyball; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Volleyball; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Volleyball Leagues; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Volleyball Leagues; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Volleyball Clinic; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Volleyball Clinic; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Golf; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Golf; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= SNAG; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= SNAG; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Cooking; Elective= f; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 3; max= 4;;
Activity= Cooking; Elective= t; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 3; max= 4;;
Activity= Painting; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 4;;
Activity= Painting; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 4;;
Activity= Glass Fusion; Elective= f; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 2; max= 4;;
Activity= Glass Fusion; Elective= t; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 2; max= 4;;
Activity= Art Shack; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 5;;
Activity= Art Shack; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 5;;
Activity= Beading & Bracelets; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Beading & Bracelets; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Calligraphy; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Calligraphy; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Zendoodle; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= Zendoodle; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 4;;
Activity= T-Shirt Studio; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 4;;
Activity= T-Shirt Studio; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 4;;
Activity= Dance; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Dance; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Woodworking; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Woodworking; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Dramatic Arts; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Dramatic Arts; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Ukulele; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Ukulele; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Digital Art & Design; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Digital Art & Design; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Photo - Digital; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Photo - Digital; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Ceramics; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Ceramics; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Ceramics Wheel; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Ceramics Wheel; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Crochet; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Crochet; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Gaga; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Gaga; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Kiting; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Kiting; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Magic Tricks; Elective= f; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Magic Tricks; Elective= t; Ratio= 6; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Mah Jongg; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Mah Jongg; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Old Alma Maters; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Old Alma Maters; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Ping Pong; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Ping Pong; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Tetherball; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Tetherball; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Ultimate Frisbee; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Ultimate Frisbee; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Book Club; Elective= f; Ratio= 15; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Book Club; Elective= t; Ratio= 15; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Running; Elective= f; Ratio= 15; b= 0; subtractBunkCounselors= t; min= 1; max= 2;;
Activity= Running; Elective= t; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Bunko; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Bunko; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Card Games; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Card Games; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= CIT Activity; Elective= f; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= CIT Activity; Elective= t; Ratio= 0; b= 0; subtractBunkCounselors= f; min= 0; max= 0;;
Activity= Jump Rope Skills; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Jump Rope Skills; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Kickboxing; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Kickboxing; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Entrepreneurship; Elective= f; Ratio= 7; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Entrepreneurship; Elective= t; Ratio= 7; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Guided Meditation with ; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Guided Meditation with ; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Track & Field; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Track & Field; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 2;;
Activity= Gymnastics - Bar, Beam, ; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Gymnastics - Bar, Beam, ; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Dance - Hip Hop; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Dance - Hip Hop; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Gymnastics - Foam Pit; Elective= f; Ratio= 7; b= 0; subtractBunkCounselors= f; min= 2; max= 3;;
Activity= Gymnastics - Foam Pit; Elective= t; Ratio= 7; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Photography; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Photography; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Stationery Making; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Stationery Making; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Tik Tok; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Tik Tok; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Zen Art; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Zen Art; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Jewelry; Elective= f; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Jewelry; Elective= t; Ratio= 10; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Sticker Design; Elective= f; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Sticker Design; Elective= t; Ratio= 5; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Meditation; Elective= f; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Meditation; Elective= t; Ratio= 12; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Spike Ball; Elective= f; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
Activity= Spike Ball; Elective= t; Ratio= 8; b= 0; subtractBunkCounselors= f; min= 1; max= 3;;
